function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_pthread_cond_broadcast	c:@F@p101_pthread_cond_broadcast	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_cond_broadcast	c:@F@pthread_cond_broadcast
p101_pthread_cond_destroy	c:@F@p101_pthread_cond_destroy	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_cond_destroy	c:@F@pthread_cond_destroy
p101_pthread_cond_init	c:@F@p101_pthread_cond_init	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_cond_init	c:@F@pthread_cond_init
p101_pthread_cond_signal	c:@F@p101_pthread_cond_signal	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_cond_signal	c:@F@pthread_cond_signal
p101_pthread_cond_timedwait	c:@F@p101_pthread_cond_timedwait	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_cond_timedwait	c:@F@pthread_cond_timedwait
p101_pthread_cond_wait	c:@F@p101_pthread_cond_wait	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_cond_wait	c:@F@pthread_cond_wait
p101_pthread_condattr_destroy	c:@F@p101_pthread_condattr_destroy	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_condattr_destroy	c:@F@pthread_condattr_destroy
p101_pthread_condattr_getpshared	c:@F@p101_pthread_condattr_getpshared	POSIX-optional	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_condattr_getpshared	c:@F@pthread_condattr_getpshared
p101_pthread_condattr_init	c:@F@p101_pthread_condattr_init	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_condattr_init	c:@F@pthread_condattr_init
p101_pthread_condattr_setpshared	c:@F@p101_pthread_condattr_setpshared	POSIX-optional	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_condattr_setpshared	c:@F@pthread_condattr_setpshared
p101_pthread_mutex_destroy	c:@F@p101_pthread_mutex_destroy	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_mutex_destroy	c:@F@pthread_mutex_destroy
p101_pthread_mutex_getprioceiling	c:@F@p101_pthread_mutex_getprioceiling	POSIX-optional	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_mutex_getprioceiling	c:@F@pthread_mutex_getprioceiling
p101_pthread_mutex_init	c:@F@p101_pthread_mutex_init	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_mutex_init	c:@F@pthread_mutex_init
p101_pthread_mutex_lock	c:@F@p101_pthread_mutex_lock	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_mutex_lock	c:@F@pthread_mutex_lock
p101_pthread_mutex_setprioceiling	c:@F@p101_pthread_mutex_setprioceiling	POSIX-optional	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_mutex_setprioceiling	c:@F@pthread_mutex_setprioceiling
p101_pthread_mutex_trylock	c:@F@p101_pthread_mutex_trylock	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_mutex_trylock	c:@F@pthread_mutex_trylock
p101_pthread_mutex_unlock	c:@F@p101_pthread_mutex_unlock	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_mutex_unlock	c:@F@pthread_mutex_unlock
p101_pthread_mutexattr_destroy	c:@F@p101_pthread_mutexattr_destroy	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_mutexattr_destroy	c:@F@pthread_mutexattr_destroy
p101_pthread_mutexattr_getprioceiling	c:@F@p101_pthread_mutexattr_getprioceiling	POSIX-optional	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_mutexattr_getprioceiling	c:@F@pthread_mutexattr_getprioceiling
p101_pthread_mutexattr_getprotocol	c:@F@p101_pthread_mutexattr_getprotocol	POSIX-optional	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_mutexattr_getprotocol	c:@F@pthread_mutexattr_getprotocol
p101_pthread_mutexattr_getpshared	c:@F@p101_pthread_mutexattr_getpshared	POSIX-optional	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_mutexattr_getpshared	c:@F@pthread_mutexattr_getpshared
p101_pthread_mutexattr_gettype	c:@F@p101_pthread_mutexattr_gettype	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_mutexattr_gettype	c:@F@pthread_mutexattr_gettype
p101_pthread_mutexattr_init	c:@F@p101_pthread_mutexattr_init	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_mutexattr_init	c:@F@pthread_mutexattr_init
p101_pthread_mutexattr_setprioceiling	c:@F@p101_pthread_mutexattr_setprioceiling	POSIX-optional	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_mutexattr_setprioceiling	c:@F@pthread_mutexattr_setprioceiling
p101_pthread_mutexattr_setprotocol	c:@F@p101_pthread_mutexattr_setprotocol	POSIX-optional	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_mutexattr_setprotocol	c:@F@pthread_mutexattr_setprotocol
p101_pthread_mutexattr_setpshared	c:@F@p101_pthread_mutexattr_setpshared	POSIX-optional	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_mutexattr_setpshared	c:@F@pthread_mutexattr_setpshared
p101_pthread_mutexattr_settype	c:@F@p101_pthread_mutexattr_settype	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_mutexattr_settype	c:@F@pthread_mutexattr_settype
p101_pthread_once	c:@F@p101_pthread_once	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_once	c:@F@pthread_once
p101_pthread_rwlock_destroy	c:@F@p101_pthread_rwlock_destroy	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_rwlock_destroy	c:@F@pthread_rwlock_destroy
p101_pthread_rwlock_init	c:@F@p101_pthread_rwlock_init	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_rwlock_init	c:@F@pthread_rwlock_init
p101_pthread_rwlock_rdlock	c:@F@p101_pthread_rwlock_rdlock	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_rwlock_rdlock	c:@F@pthread_rwlock_rdlock
p101_pthread_rwlock_tryrdlock	c:@F@p101_pthread_rwlock_tryrdlock	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_rwlock_tryrdlock	c:@F@pthread_rwlock_tryrdlock
p101_pthread_rwlock_trywrlock	c:@F@p101_pthread_rwlock_trywrlock	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_rwlock_trywrlock	c:@F@pthread_rwlock_trywrlock
p101_pthread_rwlock_unlock	c:@F@p101_pthread_rwlock_unlock	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_rwlock_unlock	c:@F@pthread_rwlock_unlock
p101_pthread_rwlock_wrlock	c:@F@p101_pthread_rwlock_wrlock	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_rwlock_wrlock	c:@F@pthread_rwlock_wrlock
p101_pthread_rwlockattr_destroy	c:@F@p101_pthread_rwlockattr_destroy	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_rwlockattr_destroy	c:@F@pthread_rwlockattr_destroy
p101_pthread_rwlockattr_getpshared	c:@F@p101_pthread_rwlockattr_getpshared	POSIX-optional	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_rwlockattr_getpshared	c:@F@pthread_rwlockattr_getpshared
p101_pthread_rwlockattr_init	c:@F@p101_pthread_rwlockattr_init	POSIX	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_rwlockattr_init	c:@F@pthread_rwlockattr_init
p101_pthread_rwlockattr_setpshared	c:@F@p101_pthread_rwlockattr_setpshared	POSIX-optional	libraries/lib_sync/src/pthread.c	libraries/lib_sync/include/p101_sync/p101_pthread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_rwlockattr_setpshared	c:@F@pthread_rwlockattr_setpshared
p101_sem_close	c:@F@p101_sem_close	POSIX	libraries/lib_sync/src/semaphore.c	libraries/lib_sync/include/p101_sync/p101_semaphore.h	libraries/lib_posix/src/semaphore.c	libraries/lib_posix/include/p101_posix/p101_semaphore.h	yes	yes	yes	sem_close	c:@F@sem_close
p101_sem_open	c:@F@p101_sem_open	POSIX	libraries/lib_sync/src/semaphore.c	libraries/lib_sync/include/p101_sync/p101_semaphore.h	libraries/lib_posix/src/semaphore.c	libraries/lib_posix/include/p101_posix/p101_semaphore.h	yes	yes	yes	sem_open	c:@F@sem_open
p101_sem_post	c:@F@p101_sem_post	POSIX	libraries/lib_sync/src/semaphore.c	libraries/lib_sync/include/p101_sync/p101_semaphore.h	libraries/lib_posix/src/semaphore.c	libraries/lib_posix/include/p101_posix/p101_semaphore.h	yes	yes	yes	sem_post	c:@F@sem_post
p101_sem_trywait	c:@F@p101_sem_trywait	POSIX	libraries/lib_sync/src/semaphore.c	libraries/lib_sync/include/p101_sync/p101_semaphore.h	libraries/lib_posix/src/semaphore.c	libraries/lib_posix/include/p101_posix/p101_semaphore.h	yes	yes	yes	sem_trywait	c:@F@sem_trywait
p101_sem_unlink	c:@F@p101_sem_unlink	POSIX	libraries/lib_sync/src/semaphore.c	libraries/lib_sync/include/p101_sync/p101_semaphore.h	libraries/lib_posix/src/semaphore.c	libraries/lib_posix/include/p101_posix/p101_semaphore.h	yes	yes	yes	sem_unlink	c:@F@sem_unlink
p101_sem_wait	c:@F@p101_sem_wait	POSIX	libraries/lib_sync/src/semaphore.c	libraries/lib_sync/include/p101_sync/p101_semaphore.h	libraries/lib_posix/src/semaphore.c	libraries/lib_posix/include/p101_posix/p101_semaphore.h	yes	yes	yes	sem_wait	c:@F@sem_wait
